S.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2010,  0.121,  0.218,  0.145,  0.033, -0.082, -0.061, -0.277, -0.171, -0.033, -0.109, -0.145, -0.116, -0.040, -0.023,  0.141,  0.032, -0.170, -0.096
2011, -0.065, -0.125, -0.218,  0.036, -0.109,  0.028,  0.243,  0.151, -0.078, -0.165, -0.147, -0.217, -0.056, -0.047, -0.102, -0.097,  0.141, -0.130
2012, -0.221, -0.055, -0.093, -0.038,  0.032, -0.045, -0.204, -0.007, -0.099,  0.104, -0.001,  0.026, -0.050, -0.070, -0.164, -0.033, -0.086,  0.001
2013,  0.083,  0.024, -0.040,  0.008, -0.128,  0.144, -0.169,  0.005,  0.236, -0.016, -0.019,  0.044,  0.014,  0.013,  0.045, -0.053, -0.007,  0.067
2014, -0.001, -0.185, -0.065,  0.003,  0.144, -0.009, -0.071,  0.034,  0.201,  0.125,  0.061,  0.032,  0.023,  0.024, -0.047,  0.027, -0.015,  0.129
2015,  0.042,  0.154,  0.003, -0.156, -0.108, -0.101, -0.140, -0.044, -0.008,  0.175,  0.157,  0.291,  0.022,  0.001,  0.076, -0.087, -0.095,  0.108
2016,  0.205,  0.277,  0.191,  0.180,  0.132,  0.008,  0.213,  0.211,  0.053,  0.251,  0.294,  0.183,  0.183,  0.192,  0.258,  0.167,  0.144,  0.199
2017,  0.224,  0.267,  0.227,  0.066,  0.218, -0.005,  0.108,  0.017,  0.071,  0.142, -0.001, -0.010,  0.110,  0.127,  0.225,  0.170,  0.040,  0.071
2018,  0.112,  0.017,  0.067,  0.205,  0.021,  0.049, -0.003, -0.040, -0.064,  0.021,  0.037,  0.213,  0.053,  0.034,  0.040,  0.098,  0.002, -0.002
2019,  0.235,  0.341,  0.272,  0.190,  0.051,  0.072,  0.193,  0.149,  0.075,  0.249,  0.300,  0.348,  0.206,  0.195,  0.263,  0.171,  0.138,  0.208
2020,  0.249,  0.126,  0.050,  0.225,  0.110,  0.163,  0.148, -0.066,  0.174,  0.002,  0.159, -0.141,  0.100,  0.141,  0.241,  0.128,  0.082,  0.112
2021, -0.104, -0.141, -0.060, -0.060, -0.069, -0.097,  0.148,  0.079,  0.178,  0.018, -0.017,  0.228,  0.009, -0.022, -0.128, -0.063,  0.043,  0.060
2022,  0.226,  0.234,  0.241, -0.244,  0.096,  0.173,  0.124, -0.100, -0.080, -0.081, -0.240, -0.011,  0.028,  0.048,  0.229,  0.031,  0.066, -0.134
2023,  0.003,  0.267,  0.352,  0.424,  0.176,  0.425,  0.442,  0.313,*******,*******,*******,*******,*******,*******,  0.086,  0.317,  0.393,*******
S.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.008, -0.062,  0.121,  0.163,  0.183, -0.135,  0.029, -0.106,  0.024, -0.038, -0.166, -0.061, -0.003, -0.003, -0.036,  0.156, -0.071, -0.060
2003,  0.054,  0.124,  0.011,  0.002, -0.087, -0.097, -0.063, -0.186, -0.150, -0.111, -0.155, -0.001, -0.055, -0.060,  0.039, -0.025, -0.115, -0.139
2004, -0.015,  0.051, -0.123,  0.030, -0.364, -0.099, -0.517, -0.254, -0.212, -0.066, -0.089,  0.052, -0.134, -0.138,  0.011, -0.152, -0.290, -0.123
2005,  0.029, -0.000,  0.021, -0.080, -0.100, -0.006, -0.068, -0.110, -0.088, -0.029, -0.141,  0.008, -0.047, -0.043,  0.027, -0.053, -0.061, -0.086
2006, -0.042,  0.025, -0.041, -0.150, -0.390, -0.004, -0.157,  0.106, -0.135, -0.147, -0.030, -0.095, -0.088, -0.080, -0.003, -0.194, -0.018, -0.104
2007,  0.060,  0.021, -0.026, -0.037,  0.064,  0.063,  0.001, -0.150, -0.087, -0.241, -0.201, -0.298, -0.069, -0.052, -0.005,  0.000, -0.029, -0.176
2008, -0.249, -0.313, -0.175, -0.072, -0.203, -0.152,  0.059, -0.286,  0.034, -0.100, -0.151, -0.091, -0.142, -0.159, -0.287, -0.150, -0.126, -0.072
2009, -0.053, -0.125, -0.041,  0.025,  0.057,  0.102,  0.244,  0.035, -0.034, -0.067,  0.188,  0.168,  0.042,  0.020, -0.089,  0.014,  0.127,  0.029
2010,  0.180,  0.252,  0.223,  0.068, -0.012,  0.007, -0.168, -0.135, -0.062, -0.063, -0.133, -0.121,  0.003,  0.027,  0.200,  0.093, -0.099, -0.086
2011, -0.084, -0.076, -0.098, -0.036, -0.179, -0.018,  0.146,  0.171, -0.219, -0.173, -0.041, -0.194, -0.067, -0.061, -0.094, -0.104,  0.100, -0.144
2012, -0.219, -0.082, -0.078, -0.111,  0.011, -0.163, -0.220, -0.062, -0.033,  0.095,  0.038,  0.096, -0.061, -0.085, -0.165, -0.060, -0.148,  0.033
2013,  0.052, -0.022,  0.008, -0.095, -0.148,  0.106, -0.031,  0.049,  0.218, -0.028, -0.017,  0.041,  0.011,  0.016,  0.042, -0.078,  0.041,  0.058
2014,  0.027, -0.096, -0.165,  0.018,  0.239,  0.025, -0.141,  0.129,  0.297,  0.102, -0.028, -0.050,  0.030,  0.037, -0.010,  0.031,  0.004,  0.124
2015,  0.013,  0.133,  0.069,  0.004, -0.031,  0.062,  0.005, -0.040, -0.086,  0.315,  0.180,  0.273,  0.075,  0.048,  0.032,  0.014,  0.009,  0.136
2016,  0.275,  0.308,  0.283,  0.236,  0.203, -0.031,  0.105,  0.290, -0.028,  0.161,  0.165,  0.176,  0.179,  0.187,  0.285,  0.241,  0.121,  0.099
2017,  0.146,  0.274,  0.286,  0.201,  0.318,  0.000,  0.129,  0.106, -0.084,  0.169, -0.018, -0.037,  0.124,  0.142,  0.199,  0.268,  0.079,  0.022
2018, -0.023, -0.030,  0.072,  0.320,  0.054,  0.170,  0.207,  0.043,  0.025,  0.225,  0.123,  0.223,  0.118,  0.096, -0.030,  0.149,  0.140,  0.124
2019,  0.148,  0.302,  0.269,  0.291,  0.133,  0.104,  0.318,  0.184,  0.031,  0.142,  0.234,  0.270,  0.202,  0.198,  0.224,  0.231,  0.202,  0.136
2020,  0.238,  0.294,  0.154,  0.367,  0.168,  0.195,  0.157, -0.000,  0.157, -0.022,  0.042, -0.124,  0.136,  0.168,  0.267,  0.230,  0.117,  0.059
2021, -0.152, -0.159,  0.044, -0.111, -0.053, -0.030,  0.228, -0.006,  0.180,  0.108,  0.006,  0.052,  0.009, -0.006, -0.145, -0.040,  0.064,  0.098
2022,  0.063,  0.130,  0.148,  0.091,  0.083,  0.213,  0.278,  0.105,  0.023,  0.043, -0.199,  0.006,  0.082,  0.086,  0.082,  0.107,  0.199, -0.044
2023, -0.074,  0.144,  0.278,  0.486,  0.165,  0.466,  0.398,  0.286,*******,*******,*******,*******,*******,*******,  0.026,  0.310,  0.383,*******
